building_type,building_name,num_nodes,num_edges,density,ave_cluster_coef,transistivity,cliques,num_nodes_norm,num_edges_norm,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63
monastery,MN0024,25,36,0.12,0.3538181818181818,0.22085889570552147,"[['MN0024_023', 'MN0024_020', 'MN0024_024', 'MN0024_018'], ['MN0024_009', 'MN0024_008', 'MN0024_000'], ['MN0024_004', 'MN0024_020', 'MN0024_005'], ['MN0024_004', 'MN0024_020', 'MN0024_018'], ['MN0024_004', 'MN0024_011', 'MN0024_003'], ['MN0024_004', 'MN0024_003', 'MN0024_013'], ['MN0024_004', 'MN0024_000', 'MN0024_005'], ['MN0024_004', 'MN0024_000', 'MN0024_019'], ['MN0024_004', 'MN0024_000', 'MN0024_013']]",0.19230769230769232,0.18947368421052632,-0.12043216824531555,0.011307085864245892,-0.013451151549816132,-0.012765267863869667,0.16395153105258942,-0.062019892036914825,-0.12677915394306183,-0.11176109313964844,0.028578585013747215,0.12877564132213593,-0.07209596037864685,0.16684593260288239,-0.16254331171512604,0.11551186442375183,-0.13826696574687958,0.14358370006084442,-0.12073173373937607,-0.0354769192636013,-0.18401315808296204,0.03159240633249283,-0.02567947655916214,-0.0179805476218462,0.14393730461597443,-0.003220189828425646,-0.012132558971643448,0.05815638229250908,0.0439310297369957,-0.008986122906208038,-0.18274253606796265,-0.027203412726521492,0.06683067977428436,0.05596292391419411,-0.1790153533220291,-0.03658731281757355,0.013227717950940132,-0.06081829592585564,0.10016386210918427,0.026340022683143616,-0.07619432359933853,-0.03971375524997711,0.005727026611566544,-0.04075053334236145,0.009287799708545208,-0.030207671225070953,-0.031748659908771515,-0.007110182195901871,-0.069582998752594,0.044091567397117615,0.07860846817493439,0.017447015270590782,-0.03475752845406532,-0.04131726175546646,0.20211800932884216,0.18765324354171753,-0.05606624484062195,-0.09963066875934601,0.09095107018947601,-0.07391061633825302,-0.0502108633518219,0.010716769844293594,0.1326504796743393,-0.10614075511693954,0.05444035679101944,0.010335585102438927
monastery,MN0015,30,33,0.07586206896551724,0.05764309764309764,0.05,"[['MN0015_003', 'MN0015_001', 'MN0015_004'], ['MN0015_007', 'MN0015_004', 'MN0015_001']]",0.23076923076923078,0.1736842105263158,0.07076051831245422,-0.0535629577934742,-0.016768526285886765,-0.16789808869361877,0.11894746124744415,0.032347340136766434,-0.007405773736536503,0.07331590354442596,0.20677246153354645,-0.03744376450777054,0.014222719706594944,-0.11704801023006439,0.06239999458193779,0.03252240642905235,-0.03886210545897484,0.004317259881645441,-0.10166244953870773,0.014176172204315662,-0.10089251399040222,0.0016759474528953433,0.13296391069889069,-0.13944588601589203,-0.0878409892320633,-0.14038769900798798,-0.019790196791291237,0.11617296189069748,0.07970096170902252,-0.03647441416978836,0.06056206673383713,-0.11909564584493637,-0.010228101164102554,0.05757361650466919,0.01727762073278427,0.012177173048257828,0.04713985696434975,0.11086271703243256,-0.021346505731344223,-0.011061358265578747,0.07953881472349167,0.10164327174425125,-0.0005331357242539525,0.016538560390472412,-0.004476670641452074,-0.10895135998725891,0.00012332001642789692,-0.032263342291116714,0.047741297632455826,0.16298945248126984,-0.008161252364516258,0.059971317648887634,0.04125867038965225,-0.042650382965803146,-0.010387096554040909,-0.004465494770556688,0.038191165775060654,-0.17420893907546997,0.036146409809589386,-0.022467713803052902,0.020667647942900658,0.12565936148166656,-0.06811017543077469,-0.11913672089576721,0.2687626779079437,-0.08950066566467285
monastery,MN0016,33,37,0.07007575757575757,0.05497835497835498,0.05660377358490566,"[['MN0016_018', 'MN0016_002', 'MN0016_021'], ['MN0016_006', 'MN0016_004', 'MN0016_024']]",0.25384615384615383,0.19473684210526315,-0.028933770954608917,-0.01534463744610548,-0.09849334508180618,-0.04455171152949333,0.12836940586566925,-0.12400870025157928,0.0019345716573297977,-0.054940178990364075,-0.007845369167625904,0.024187451228499413,-0.012368032708764076,-0.0771428719162941,-0.04657052829861641,-0.004439507611095905,-0.1804431676864624,-0.0032687638886272907,-0.12556962668895721,0.0108705535531044,-0.02722127176821232,-0.025055132806301117,-0.007100773509591818,-0.017633020877838135,-0.08338449150323868,-0.0004960804362781346,-0.06255072355270386,-0.09942461550235748,0.05382952466607094,-0.08419299870729446,0.004863744601607323,0.09548714011907578,-0.03926156088709831,0.03671809285879135,0.03114715777337551,0.00023559910187032074,0.07042855769395828,0.04356815665960312,0.07785402983427048,-0.19967946410179138,0.04973320662975311,0.04728051275014877,-0.028863172978162766,0.14709287881851196,-0.037444550544023514,-0.11891385912895203,-0.03402412682771683,0.00906404759734869,0.1887207180261612,-0.09293239563703537,0.004836548585444689,0.09832470118999481,0.05873437598347664,-0.07793878763914108,-0.016468524932861328,-0.044865682721138,0.06537191569805145,0.07554101943969727,0.04295041784644127,-0.04276460036635399,-0.05904262885451317,-0.012761090882122517,0.08519880473613739,-0.025506678968667984,0.007707140874117613,0.030649268999695778
monastery,MN0029,38,51,0.07254623044096728,0.07725563909774437,0.061224489795918366,"[['MN0029_024', 'MN0029_034', 'MN0029_036'], ['MN0029_024', 'MN0029_034', 'MN0029_031'], ['MN0029_002', 'MN0029_009', 'MN0029_007']]",0.2923076923076923,0.26842105263157895,-0.05098209157586098,0.08897285908460617,0.08329203724861145,-0.021706843748688698,-0.02616364136338234,0.12833595275878906,-0.008584558963775635,-0.030794331803917885,-0.07648841291666031,-0.10075797885656357,0.04109768196940422,0.061289869248867035,-0.0022921350318938494,-0.07514451444149017,0.08265919238328934,-0.017876282334327698,-0.09089741110801697,0.1628953069448471,0.18263055384159088,-0.03511111065745354,-0.06263316422700882,0.046666208654642105,-0.17176049947738647,-0.07503338158130646,0.009603998623788357,-0.06565681099891663,0.02654648758471012,-0.03217913582921028,-0.0970887690782547,0.03623811528086662,-0.21482151746749878,-0.049299947917461395,-0.12938661873340607,-0.0268033929169178,-0.1103038564324379,0.017626674845814705,-0.05123317614197731,0.17394833266735077,-0.007849461399018764,-0.031181298196315765,0.03881717845797539,0.027238434180617332,-0.016430409625172615,0.0563952662050724,0.03765299916267395,-0.027179397642612457,-0.05879403278231621,0.1434183418750763,0.007841662503778934,-0.06101865693926811,0.026193473488092422,0.17579859495162964,-0.1924208700656891,-0.017149852588772774,-0.09151430428028107,0.09157732874155045,-0.08440366387367249,-0.0427931547164917,0.1340327262878418,0.0900382399559021,0.012970143929123878,0.06513960659503937,-0.04909305274486542,-0.03520379588007927
monastery,MN0017,30,41,0.09425287356321839,0.295925925925926,0.20512820512820512,"[['MN0017_021', 'MN0017_026', 'MN0017_016'], ['MN0017_021', 'MN0017_015', 'MN0017_010'], ['MN0017_009', 'MN0017_025', 'MN0017_003'], ['MN0017_004', 'MN0017_002', 'MN0017_010'], ['MN0017_004', 'MN0017_020', 'MN0017_022'], ['MN0017_004', 'MN0017_007', 'MN0017_011'], ['MN0017_004', 'MN0017_007', 'MN0017_013'], ['MN0017_012', 'MN0017_006', 'MN0017_011']]",0.23076923076923078,0.21578947368421053,-0.029444854706525803,0.013071169145405293,0.12084220349788666,-0.08939918875694275,-0.01218145526945591,-0.03466269001364708,-0.0025524378288537264,0.06087153032422066,-0.05565480515360832,0.17388470470905304,-0.047777023166418076,-0.046249374747276306,-0.05609138682484627,-0.19631505012512207,0.06505358219146729,-0.03822352737188339,0.09940781444311142,0.07035257667303085,-0.08870644867420197,0.01151251420378685,0.007004610728472471,0.08056394755840302,0.0180721003562212,-0.03847121074795723,0.05278455838561058,-0.08242981880903244,-0.022290509194135666,0.011090012267231941,0.03827928751707077,-0.05458716303110123,-0.026414427906274796,-0.12136821448802948,-0.23549550771713257,-0.07630834728479385,0.12336969375610352,0.13506057858467102,-0.06314026564359665,-0.1025804802775383,-0.17352928221225739,0.040744997560977936,-0.03143646568059921,-0.0631599947810173,0.028935711830854416,0.08803261071443558,0.042966533452272415,0.07391590625047684,0.07770999521017075,0.05637997016310692,-0.00540841044858098,-0.17871156334877014,0.018236538395285606,0.04416823014616966,0.0821293517947197,0.009377693757414818,0.18464413285255432,-0.038850896060466766,-0.08775689452886581,0.03244999796152115,0.046223465353250504,0.031962309032678604,-0.020785016939044,0.06918548792600632,0.04211657494306564,0.0730130672454834
monastery,MN0027,25,27,0.09,0.16647619047619044,0.09375,"[['MN0027_002', 'MN0027_006', 'MN0027_011'], ['MN0027_002', 'MN0027_000', 'MN0027_014'], ['MN0027_002', 'MN0027_000', 'MN0027_015']]",0.19230769230769232,0.14210526315789473,-0.12665680050849915,0.07889268547296524,0.06245593726634979,-0.08003854751586914,-0.034546803683042526,-0.08451910316944122,0.16195139288902283,0.021053938195109367,0.034134238958358765,0.0066585540771484375,0.003869600361213088,0.04216156154870987,0.06318545341491699,0.18331603705883026,0.09958256781101227,0.13185374438762665,-0.1098879799246788,-0.02738914079964161,-0.08215489983558655,-0.002208771649748087,0.1991131603717804,0.054138537496328354,-0.06973613053560257,-0.08392879366874695,0.14624103903770447,0.03080199658870697,-0.1531246155500412,-0.01131564099341631,-0.146731898188591,-0.09507060796022415,-0.09300858527421951,0.17211635410785675,-0.06552007049322128,0.03502078354358673,-0.01096357312053442,0.10446632653474808,-0.13485343754291534,-0.05935726314783096,-0.134409561753273,-0.05562017485499382,-0.07976509630680084,-0.030485400930047035,0.09134887903928757,0.043291717767715454,0.03632035851478577,-0.10573083162307739,-0.036161817610263824,-0.2246764898300171,-0.13140420615673065,-0.018012115731835365,-0.174988254904747,-0.0241940189152956,0.20038847625255585,0.07212921977043152,-0.18582028150558472,-0.08382277190685272,0.1289082169532776,0.07256999611854553,-0.08207643777132034,-0.15625795722007751,-0.07744970917701721,0.025891531258821487,0.04464399442076683,0.13872553408145905
monastery,MN0013,23,22,0.08695652173913043,0.0,0,[],0.17692307692307693,0.11578947368421053,0.08771103620529175,-0.051709942519664764,0.006251379381865263,-0.02736988291144371,-0.05923487991094589,-0.015995394438505173,-0.010345729067921638,-0.10094495117664337,0.02605050802230835,0.03414894640445709,0.1049354076385498,-0.09761878848075867,0.13951359689235687,-0.0038336252328008413,0.22684483230113983,-0.008631287142634392,-0.0254462081938982,0.0035201427526772022,0.20127540826797485,-0.00821145810186863,-0.1822941154241562,-0.034208204597234726,0.03144761919975281,0.012636445462703705,0.06552141904830933,0.1126946434378624,0.04669801518321037,-0.05934687331318855,0.15599776804447174,0.06915079802274704,-0.15970569849014282,0.08904075622558594,-0.06908562034368515,-0.10134395211935043,-0.1117265522480011,0.03383137285709381,0.19164226949214935,0.1243836060166359,0.012043862603604794,-0.028614647686481476,0.054283495992422104,0.027292469516396523,-0.0734773650765419,0.13854774832725525,0.12483396381139755,0.11529745161533356,-0.04838693141937256,0.06988557428121567,-0.011739346198737621,0.12855933606624603,-0.07586849480867386,0.03302014246582985,-0.012573796324431896,-0.028400501236319542,-0.15554434061050415,-0.022465039044618607,0.02020931802690029,0.0055753616616129875,2.6849300411413424e-05,0.12332306057214737,-0.12952053546905518,0.02108537219464779,0.07645510137081146,-0.14281000196933746
monastery,MN0014,37,45,0.06756756756756757,0.05675675675675676,0.06716417910447761,"[['MN0014_000', 'MN0014_010', 'MN0014_034'], ['MN0014_000', 'MN0014_010', 'MN0014_035'], ['MN0014_034', 'MN0014_022', 'MN0014_010']]",0.2846153846153846,0.23684210526315788,0.11653262376785278,-0.21606609225273132,-0.07819858938455582,0.04239525645971298,-0.009260974824428558,0.0048193964175879955,-0.05063070356845856,0.01555596198886633,0.022528229281306267,-0.058983661234378815,-0.09528163820505142,-0.13050274550914764,-0.07078871876001358,0.011517247185111046,-0.07659986615180969,0.0817687064409256,-0.03946858271956444,-0.06818018853664398,-0.05658287554979324,0.006452818401157856,-0.06543328613042831,0.07277481257915497,-0.023047002032399178,-0.001066948869265616,0.0646204724907875,-0.10863211005926132,0.07477223873138428,-0.039890728890895844,0.11651961505413055,-0.059439025819301605,-0.15442757308483124,-0.046328574419021606,0.08868847787380219,0.0840015709400177,-0.050494126975536346,-0.12850511074066162,0.14302638173103333,-0.07598600536584854,-0.23383688926696777,0.024578027427196503,-0.17284469306468964,0.044583406299352646,-0.10095588117837906,0.01348161045461893,-0.0817873552441597,-0.015453074127435684,-0.06849729269742966,-0.07738757133483887,-0.049829162657260895,0.003259223885834217,-0.0012198847252875566,0.009815559722483158,0.12471146136522293,-0.033322855830192566,0.01744258962571621,0.05042664706707001,-0.05520448088645935,-0.06363542377948761,0.01573263667523861,0.0013835623394697905,-0.052687034010887146,0.20469552278518677,0.0465245395898819,-0.034041520208120346
monastery,MN0002,31,47,0.1010752688172043,0.26006144393241165,0.20754716981132076,"[['MN0002_014', 'MN0002_018', 'MN0002_002'], ['MN0002_014', 'MN0002_018', 'MN0002_012'], ['MN0002_009', 'MN0002_008', 'MN0002_004'], ['MN0002_009', 'MN0002_000', 'MN0002_004'], ['MN0002_009', 'MN0002_000', 'MN0002_019'], ['MN0002_009', 'MN0002_000', 'MN0002_005'], ['MN0002_003', 'MN0002_011', 'MN0002_020'], ['MN0002_013', 'MN0002_004', 'MN0002_000'], ['MN0002_006', 'MN0002_015', 'MN0002_008'], ['MN0002_007', 'MN0002_015', 'MN0002_008'], ['MN0002_015', 'MN0002_011', 'MN0002_008']]",0.23846153846153847,0.24736842105263157,0.04955817013978958,0.07600154727697372,-0.001356376800686121,-0.07632530480623245,0.03929634392261505,0.15218965709209442,-0.0541364923119545,-0.14559030532836914,-0.17006874084472656,0.07613106817007065,0.052977368235588074,-0.09113115817308426,-0.012123548425734043,-0.0057083782739937305,-0.0269472599029541,-0.05998189374804497,-0.14425502717494965,0.01714758202433586,0.04876456782221794,0.014373277314007282,-0.056069858372211456,0.023007377982139587,0.03395887464284897,0.1692981719970703,-0.11575047671794891,-0.06928028911352158,0.05868963524699211,0.07080455869436264,-0.07502460479736328,0.014275765046477318,0.03960280865430832,-0.08235961198806763,0.051168691366910934,-0.06426110118627548,0.018023628741502762,-0.04486258700489998,-0.0006415754905901849,0.03330748900771141,0.06102069094777107,-0.05920037627220154,-0.006533055566251278,-0.05484307184815407,0.033882025629282,0.05396653339266777,0.06648538261651993,0.037310775369405746,0.04492684826254845,-0.17837847769260406,-0.10939386487007141,-0.027670864015817642,-0.03513043746352196,0.009908974170684814,-0.027864579111337662,-0.074489064514637,0.19851219654083252,-0.06484299898147583,0.08838619291782379,-0.08985592424869537,0.20069371163845062,0.0302896685898304,0.06399250775575638,-0.18003912270069122,-0.05797303095459938,0.2069670706987381
monastery,MN0026,35,36,0.06050420168067227,0.0,0,[],0.2692307692307692,0.18947368421052632,0.017254767939448357,-0.026195941492915154,-0.04656387120485306,0.032159071415662766,0.025886062532663345,-0.03703782334923744,0.0165236908942461,-0.043927498161792755,0.11846864223480225,-0.11148929595947266,0.16689760982990265,0.008586433716118336,0.10517878085374832,0.13284200429916382,0.050420474261045456,-0.022383732721209526,0.019344251602888107,-0.13946792483329773,-0.011572003364562988,-0.08530803769826889,0.05016142129898071,-0.06349002569913864,-0.036089859902858734,0.0033806648571044207,0.051809024065732956,-0.14369089901447296,-0.009828758426010609,0.030302973464131355,-0.15379923582077026,-0.018666602671146393,-0.15858708322048187,-0.002485123695805669,-0.019030477851629257,0.022766126319766045,-0.00679867435246706,0.10895414650440216,-0.20845142006874084,0.11058073490858078,-0.026573767885565758,0.024527719244360924,-0.060633283108472824,0.03291747346520424,0.08150788396596909,0.017942875623703003,0.07275649160146713,0.08430220931768417,0.011349917389452457,0.15411846339702606,0.07608071714639664,0.049163736402988434,-0.16227880120277405,0.0019019374158233404,-0.005095936357975006,-0.08596984297037125,0.013304262422025204,0.04142443835735321,0.14669671654701233,-0.20007245242595673,0.021033504977822304,-0.15138526260852814,0.02425207756459713,-0.14107291400432587,-0.0442921407520771,0.031815916299819946
