area,iso_area,building_type,building_name,betweenness,degree_centrality,eigenvector_centrality,closeness_centrality,degree,clustering_coef,id,area_norm,iso_area_norm,degree_norm,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63
18254,153,monastery,MN0024,0.6672705314009661,0.4583333333333333,0.4250123818365297,0.6,11,0.07272727272727272,MN0024_000,0.22073085201576823,0.001988252417091174,0.1746031746031746,-3.8107714653015137,2.5332376956939697,-0.6946724057197571,-1.3401600122451782,0.6755921244621277,7.332126140594482,-0.7665553689002991,3.0878517627716064,-0.13056455552577972,0.9125209450721741,2.203328847885132,2.0362257957458496,12.464899063110352,-6.040355682373047,5.0432891845703125,4.020173072814941,2.0564522743225098,-9.282617568969727,4.984794616699219,-9.767531394958496,-1.536167860031128,-5.430954456329346,-3.642909049987793,0.6135370135307312,0.08818487823009491,-2.5897879600524902,2.215383768081665,-2.3598458766937256,3.8903281688690186,-0.19307546317577362,1.0992001295089722,0.16861985623836517,-3.795414924621582,6.386783599853516,-1.577938199043274,0.2509731650352478,-5.183926582336426,1.84385085105896,3.0195541381835938,1.8368968963623047,0.021898454055190086,-3.177154064178467,0.04164837673306465,-4.15946102142334,11.550877571105957,-3.8030807971954346,-3.86220645904541,5.301314353942871,5.34012508392334,-4.137312889099121,1.8269696235656738,7.3032546043396,5.451868057250977,0.3541787564754486,1.8277904987335205,1.4254589080810547,-0.08729390054941177,-1.109525203704834,3.5830633640289307,-5.322154998779297,-9.890144348144531,5.271048069000244,4.169487953186035,-1.6688462495803833
1313,795,monastery,MN0024,0.15942028985507248,0.08333333333333333,0.020518905913831306,0.3157894736842105,2,0,MN0024_001,0.015877046603303586,0.010331115500571786,0.031746031746031744,2.262230157852173,3.804781198501587,1.396384358406067,2.8731091022491455,-0.7346187829971313,3.1995012760162354,-0.9711900949478149,3.25113582611084,-0.12161847203969955,0.7758595943450928,2.8660764694213867,-1.2356085777282715,5.991741180419922,-2.3550028800964355,1.287855863571167,0.6657480001449585,0.7415993809700012,-4.085875034332275,1.616557240486145,-4.484669208526611,-1.5386244058609009,-2.6024374961853027,0.36653271317481995,3.4561197757720947,-2.777585744857788,0.9166051149368286,-1.2360578775405884,-2.7140750885009766,2.5175461769104004,1.0557687282562256,3.7670493125915527,-2.533766031265259,-3.4821040630340576,3.6745169162750244,-2.428400993347168,-0.07506640255451202,-1.6817224025726318,-0.6288793683052063,1.5294206142425537,0.4181344509124756,-0.8637905716896057,-3.195937395095825,0.5142139196395874,-0.4318090081214905,2.752634286880493,-4.719931125640869,-1.0094305276870728,4.710838317871094,2.258028745651245,-3.172198534011841,1.1133239269256592,2.5966310501098633,-0.695148766040802,2.364624500274658,1.6041010618209839,1.8828126192092896,-0.8433526754379272,-2.4889731407165527,-1.0240132808685303,-4.120718479156494,-5.677648067474365,4.065089702606201,3.0475189685821533,-0.40689441561698914
732,704,monastery,MN0024,0.0,0.041666666666666664,0.10659335991260765,0.36363636363636365,1,0,MN0024_002,0.008851483711818908,0.009148560141386838,0.015873015873015872,1.5977014303207397,1.6646733283996582,-1.3359062671661377,-1.1799019575119019,3.455840587615967,2.633073329925537,0.6155980825424194,-0.6235272288322449,-1.699039340019226,-1.1682270765304565,0.24979719519615173,1.5811365842819214,2.5607552528381348,-3.46787166595459,1.7428754568099976,-0.2972452640533447,-1.5627886056900024,-3.5105786323547363,-0.5608059763908386,-1.2667524814605713,3.2168402671813965,-0.5196332931518555,1.2594743967056274,-2.7920114994049072,-1.4137245416641235,-0.4287703335285187,1.1625969409942627,1.2939943075180054,-1.8265373706817627,-1.6482785940170288,0.10595204681158066,-1.525053858757019,6.747842311859131,3.2516555786132812,-6.1670241355896,-0.9778794050216675,0.2555529773235321,-0.27319589257240295,0.3103308379650116,0.9581271409988403,2.5847740173339844,-5.858373641967773,-2.4786767959594727,-0.6667254567146301,1.922547459602356,0.144131600856781,-2.5764763355255127,3.765174388885498,-2.4703476428985596,-1.743158221244812,0.9915554523468018,0.2670257091522217,0.46163830161094666,1.2220304012298584,2.470750093460083,-0.19327916204929352,-3.7613167762756348,-0.1402570754289627,2.2277884483337402,-2.881140947341919,-0.8611019849777222,-1.7719534635543823,-0.36063143610954285,2.1687467098236084
570,378,monastery,MN0024,0.0018115942028985507,0.125,0.18632726945797776,0.375,3,0.6666666666666666,MN0024_003,0.006892548791990132,0.004912153030460547,0.047619047619047616,-0.5040831565856934,-0.5632729530334473,-0.6863306760787964,1.6690900325775146,2.1832571029663086,5.428290843963623,-1.5972847938537598,0.5961674451828003,-3.5233609676361084,0.0941619798541069,-0.3397051990032196,2.3239023685455322,5.770284652709961,0.08605543524026871,0.383961021900177,1.155289888381958,-0.2100888341665268,-2.308722734451294,-0.26315420866012573,-5.03092622756958,-0.39750075340270996,-5.282818794250488,-6.054444789886475,-4.067293643951416,-0.7993595600128174,-1.224097728729248,4.179422378540039,-0.41880735754966736,0.8904643058776855,0.1288551539182663,2.00892972946167,-3.8025903701782227,0.49031132459640503,1.5673877000808716,-2.8965513706207275,-1.0278724431991577,-2.696790933609009,0.7860211730003357,3.214365005493164,0.12009599804878235,-1.3487727642059326,-2.7677133083343506,0.38067641854286194,1.3345545530319214,3.9720306396484375,-1.8808826208114624,-1.7115638256072998,3.0888397693634033,1.1543018817901611,2.3482894897460938,4.564638614654541,0.6493618488311768,2.751138210296631,2.6631739139556885,3.3977251052856445,1.3683369159698486,-2.1730427742004395,1.6500965356826782,-0.7721806168556213,-0.5197840929031372,-2.791855573654175,-0.05085562914609909,0.4914211332798004,-0.3641013205051422
499,310,monastery,MN0024,0.47554347826086957,0.5,0.5085282270590004,0.5581395348837209,12,0.10606060606060606,MN0024_004,0.006034003240707152,0.004028485289531136,0.19047619047619047,-3.3522801399230957,-6.774347305297852,-4.229448318481445,-1.2897484302520752,-3.824737787246704,8.715605735778809,-0.33911117911338806,1.2346168756484985,-4.192898750305176,5.6416826248168945,-0.5454831123352051,-0.9883713722229004,6.822162628173828,-2.6156203746795654,-0.1544138342142105,0.27014097571372986,3.2586352825164795,-1.8822695016860962,-2.236637592315674,-5.79916524887085,-5.191012859344482,-9.443395614624023,-7.256082534790039,-5.596353530883789,-3.1238274574279785,-1.3653258085250854,-0.5488284230232239,-0.9975780248641968,2.5703961849212646,0.7634255886077881,-0.70843106508255,-3.5901124477386475,-10.298806190490723,2.13519024848938,-3.4709692001342773,-0.6521030068397522,-3.8130714893341064,4.637186050415039,3.085920572280884,-0.10609384626150131,-2.5685720443725586,3.28694748878479,-0.384996235370636,0.8909404873847961,7.39434289932251,0.1851481795310974,-4.0083699226379395,1.5975996255874634,8.048113822937012,5.9349470138549805,0.8831337690353394,2.717183828353882,-0.5148424506187439,3.0999488830566406,-0.5839980244636536,-5.10750675201416,-6.4934539794921875,-0.9015822410583496,-4.84408712387085,5.368358135223389,-6.275537967681885,4.401451110839844,8.757864952087402,-7.348002910614014
269,159,monastery,MN0024,0.01328502415458937,0.125,0.25842076615903015,0.46153846153846156,3,0.6666666666666666,MN0024_005,0.003252799342184817,0.002066223100114357,0.047619047619047616,0.5231239199638367,-0.4157169759273529,-2.4996678829193115,0.9775522947311401,-2.5049803256988525,4.400509834289551,1.82674241065979,0.38408714532852173,-0.6729472875595093,1.5175260305404663,1.8669226169586182,0.32037290930747986,3.0210039615631104,-6.691781520843506,2.8284683227539062,-1.1682432889938354,-0.04188142716884613,0.1983434557914734,3.410526990890503,-3.8241097927093506,2.3610894680023193,-2.4076454639434814,0.9689409732818604,-7.121741771697998,-1.9483585357666016,2.6500823497772217,-4.15828275680542,4.2201690673828125,-1.5786049365997314,-1.4083088636398315,-4.626701831817627,-5.031360149383545,1.2013235092163086,2.34647536277771,-4.1904449462890625,-2.294933557510376,-0.6243926286697388,2.471660614013672,1.840186357498169,0.7210047841072083,2.166104316711426,-4.362064361572266,-4.986368656158447,2.4242537021636963,2.8331098556518555,-0.8405566215515137,-0.9250818490982056,3.76979923248291,-2.8778514862060547,4.115865230560303,-2.6903867721557617,1.16219961643219,-0.6255902647972107,4.47762393951416,-0.15595434606075287,-5.0496320724487305,-6.771763324737549,-1.8810738325119019,-4.294373512268066,-1.1253392696380615,-2.109837532043457,1.120469570159912,2.433544158935547,-0.10271822661161423
216,195,monastery,MN0024,0.0,0.041666666666666664,0.10659335991260765,0.36363636363636365,1,0,MN0024_006,0.0026119132264383663,0.002534047198253457,0.015873015873015872,1.372775912284851,1.564536452293396,-1.1047483682632446,-0.8798432946205139,3.5619022846221924,2.4074199199676514,0.45089802145957947,-0.6906309723854065,-1.3393434286117554,-1.580053687095642,0.18181176483631134,1.7816158533096313,2.2894623279571533,-3.4496195316314697,1.6794850826263428,-0.19686561822891235,-1.626313328742981,-3.7524006366729736,-0.4249666929244995,-1.2936782836914062,3.3548383712768555,-0.33551499247550964,1.0928806066513062,-2.984407424926758,-1.3673774003982544,-0.3652403950691223,1.2354178428649902,1.0471885204315186,-1.6582860946655273,-1.7018176317214966,0.03485865518450737,-1.2247135639190674,6.798421859741211,2.695194959640503,-5.636292934417725,-1.0575642585754395,0.42306920886039734,-0.10062126815319061,-0.12714846432209015,0.9315029382705688,2.2781178951263428,-5.970980644226074,-2.5346927642822266,-0.9258037209510803,1.8520455360412598,0.06905285269021988,-2.373917579650879,3.355529546737671,-2.014907121658325,-1.8950374126434326,0.8936643004417419,0.3119308054447174,0.8540744185447693,0.87080317735672,2.3536596298217773,0.10022073984146118,-3.7031643390655518,0.23588278889656067,2.421515703201294,-3.01649808883667,-0.8248019218444824,-1.8400771617889404,-0.3866235017776489,2.208195686340332
161,184,monastery,MN0024,0.0,0.041666666666666664,0.019532474784999112,0.2857142857142857,1,0,MN0024_007,0.001946842728965634,0.0023911009460442873,0.015873015873015872,-1.0199934244155884,1.6513848304748535,-0.9234544038772583,1.5304746627807617,1.806530237197876,3.3159966468811035,-0.7163771390914917,0.8202880024909973,0.40170493721961975,-0.9043347239494324,0.8825987577438354,3.535562753677368,4.281750202178955,-2.6863090991973877,0.8989537358283997,1.0526617765426636,0.6407601833343506,-4.309838771820068,0.9519950747489929,-3.4028263092041016,-0.37941837310791016,-0.979193389415741,-1.815638542175293,2.4367828369140625,0.2537914514541626,-1.6098674535751343,1.6106271743774414,-1.2352056503295898,0.30338841676712036,-0.5301463603973389,-0.1396297961473465,0.4090118110179901,-0.8869041800498962,-0.46251028776168823,0.6643149256706238,-1.3486617803573608,-2.588993787765503,0.9022089242935181,0.5070719718933105,0.5776565074920654,-0.31200090050697327,-0.6076092720031738,-1.0634756088256836,-0.14871077239513397,2.9052212238311768,-0.6977267861366272,-1.5329842567443848,0.18803733587265015,2.9120731353759766,-3.0845932960510254,0.7053040862083435,2.3243038654327393,4.548914432525635,-2.0874950885772705,0.5321407318115234,3.2368314266204834,-2.0578832626342773,0.9591615796089172,0.5846796631813049,-5.536686897277832,-2.577695369720459,2.44574236869812,1.92349374294281,-1.9050636291503906
113,89,monastery,MN0024,0.0,0.08333333333333333,0.11271510466760389,0.3870967741935484,2,1.0,MN0024_008,0.001366417567534886,0.001156565131510552,0.031746031746031744,0.3657410442829132,-0.785672664642334,-2.206181049346924,2.063833475112915,-1.4650975465774536,0.11422337591648102,0.9400688409805298,-2.4413206577301025,2.2244067192077637,0.5431548953056335,0.865355372428894,-3.313497304916382,1.7820807695388794,-1.479983925819397,0.06467129290103912,2.406073808670044,-0.28777119517326355,-1.4851808547973633,2.5263097286224365,-4.640007019042969,-1.1146340370178223,-1.974408507347107,-1.29378080368042,-3.691020965576172,2.5984861850738525,1.671303391456604,-3.094020128250122,4.336819648742676,0.25072938203811646,-3.3803069591522217,-2.088811159133911,-0.9946009516716003,-1.908288836479187,4.415672302246094,-0.7558908462524414,-1.8509637117385864,-0.031097250059247017,2.9379563331604004,2.4762840270996094,-4.8544087409973145,-0.41052064299583435,-1.9254180192947388,0.08378171920776367,-0.26279887557029724,5.214594841003418,-2.0353007316589355,-0.3742496073246002,2.171152353286743,-0.7248502373695374,-0.23794016242027283,-4.156346321105957,5.446907997131348,0.07594866305589676,3.0333073139190674,0.10470381379127502,-1.3353838920593262,-4.500304222106934,-0.7239071726799011,-3.356212615966797,-0.17825175821781158,-2.4850411415100098,4.990311145782471,0.7059468030929565,-1.8062152862548828
112,178,monastery,MN0024,0.0,0.08333333333333333,0.11271510466760389,0.3870967741935484,2,1.0,MN0024_009,0.0013543253766717454,0.002313130263021104,0.031746031746031744,0.2691510319709778,-1.3172558546066284,-2.0495223999023438,1.4752800464630127,-1.1821544170379639,-0.19357487559318542,0.630575954914093,-2.860832691192627,2.5900766849517822,0.44257915019989014,0.8107395768165588,-3.3625946044921875,1.9176454544067383,-1.5476665496826172,0.6674899458885193,2.1700479984283447,-0.17212998867034912,-1.2602674961090088,1.8900731801986694,-4.628827095031738,-1.581110954284668,-1.6589734554290771,-2.2579567432403564,-4.037075042724609,3.0647683143615723,1.5262559652328491,-3.0862576961517334,3.950099229812622,-0.2523190975189209,-2.592454195022583,-2.1169114112854004,-1.2012627124786377,-1.770029902458191,4.417755603790283,-0.8885701298713684,-1.5713274478912354,-0.27991777658462524,3.824338436126709,3.286374092102051,-4.69397497177124,0.2942162752151489,-0.9123398065567017,0.31836897134780884,-0.329096257686615,5.543199062347412,-1.8446563482284546,-0.5877389907836914,1.587215542793274,-0.20400972664356232,-0.6631908416748047,-4.369764804840088,5.489203453063965,0.5729070901870728,3.3449785709381104,0.5878875255584717,-0.9824598431587219,-4.4392900466918945,-0.31879347562789917,-2.9569051265716553,-0.15370547771453857,-2.284710168838501,5.054574012756348,0.9233005046844482,-1.8125730752944946
