area,iso_area,building_type,building_name,betweenness,degree_centrality,eigenvector_centrality,closeness_centrality,degree,clustering_coef,id,area_norm,iso_area_norm,degree_norm
15,15,monastery,MN0016,0.0625,0.0625,0.03057028263934331,0.23529411764705882,2,0,MN0016_019,0.00018138286294710877,0.0001949267075579582,0.031746031746031744
13,13,monastery,MN0016,0.0625,0.0625,0.07041108491361704,0.2782608695652174,2,0,MN0016_020,0.00015719848122082759,0.00016893647988356378,0.031746031746031744
13,13,monastery,MN0016,0.0625,0.09375,0.16164668218657866,0.32653061224489793,3,0.3333333333333333,MN0016_021,0.00015719848122082759,0.00016893647988356378,0.047619047619047616
13,13,monastery,MN0016,0.0,0.03125,0.07594636151170227,0.2782608695652174,1,0,MN0016_022,0.00015719848122082759,0.00016893647988356378,0.015873015873015872
13,13,monastery,MN0016,0.0,0.03125,0.07594636151170227,0.2782608695652174,1,0,MN0016_023,0.00015719848122082759,0.00016893647988356378,0.015873015873015872
12,10,monastery,MN0016,0.3225806451612903,0.125,0.312678801258255,0.4,4,0.16666666666666666,MN0016_024,0.000145106290357687,0.00012995113837197214,0.06349206349206349
12,12,monastery,MN0016,0.0,0.03125,0.1338364857686974,0.3018867924528302,1,0,MN0016_025,0.000145106290357687,0.00015594136604636657,0.015873015873015872
9,9,monastery,MN0016,0.0,0.03125,0.046226398655818284,0.24806201550387597,1,0,MN0016_026,0.00010882971776826526,0.00011695602453477492,0.015873015873015872
9,9,monastery,MN0016,0.030241935483870976,0.0625,0.19458688850500164,0.3333333333333333,2,0,MN0016_027,0.00010882971776826526,0.00011695602453477492,0.031746031746031744
8,8,monastery,MN0016,0.0,0.03125,0.06075040273630425,0.25196850393700787,1,0,MN0016_028,9.673752690512467e-05,0.00010396091069757771,0.015873015873015872
8,8,monastery,MN0016,0.0,0.03125,0.020135526160062898,0.2191780821917808,1,0,MN0016_029,9.673752690512467e-05,0.00010396091069757771,0.015873015873015872
7,7,monastery,MN0016,0.0625,0.0625,0.08271009249383217,0.2831858407079646,2,0,MN0016_030,8.464533604198409e-05,9.096579686038049e-05,0.031746031746031744
7,7,monastery,MN0016,0.0,0.03125,0.008742155498535374,0.19161676646706588,1,0,MN0016_031,8.464533604198409e-05,9.096579686038049e-05,0.015873015873015872
7,7,monastery,MN0016,0.0,0.03125,0.03032194010400875,0.22535211267605634,1,0,MN0016_032,8.464533604198409e-05,9.096579686038049e-05,0.015873015873015872
45710,6761,monastery,MN0029,0.1291041041041041,0.10810810810810811,0.12870399758789502,0.3008130081300813,4,0,MN0029_000,0.5527340443541561,0.08785996465329036,0.06349206349206349
1280,2453,monastery,MN0029,0.0,0.02702702702702703,0.07953685164086949,0.2483221476510067,1,0,MN0029_001,0.015478004304819947,0.03187701424264477,0.015873015873015872
896,2368,monastery,MN0029,0.2716466466466466,0.21621621621621623,0.2954497320243108,0.3274336283185841,8,0.03571428571428571,MN0029_002,0.010834603013373963,0.030772429566483003,0.12698412698412698
633,1619,monastery,MN0029,0.42274774774774776,0.13513513513513514,0.31158207094697205,0.4111111111111111,5,0,MN0029_003,0.00765435681636799,0.02103908930242229,0.07936507936507936
506,629,monastery,MN0029,0.0,0.02702702702702703,0.01295097230534011,0.19576719576719576,1,0,MN0029_004,0.006118648576749135,0.008173926603597047,0.015873015873015872
501,502,monastery,MN0029,0.0,0.02702702702702703,0.07953685164086949,0.2483221476510067,1,0,MN0029_005,0.0060581876224334325,0.006523547146273002,0.015873015873015872
483,621,monastery,MN0029,0.008883883883883883,0.05405405405405406,0.0370477730289162,0.21637426900584794,2,0,MN0029_006,0.005840528186896902,0.00806996569289947,0.031746031746031744
337,746,monastery,MN0029,0.3093593593593593,0.13513513513513514,0.3086317695264242,0.3894736842105263,5,0.1,MN0029_007,0.004075068320878377,0.009694354922549121,0.07936507936507936
327,748,monastery,MN0029,0.17263096429763097,0.13513513513513514,0.1589422462291545,0.31896551724137934,5,0,MN0029_008,0.003954146412246971,0.009720345150223516,0.07936507936507936
248,375,monastery,MN0029,0.03896396396396396,0.08108108108108109,0.19726970464028934,0.31896551724137934,3,0.3333333333333333,MN0029_009,0.002998863334058865,0.0048731676889489555,0.047619047619047616
241,631,monastery,MN0029,0.04029029029029029,0.05405405405405406,0.08951038684747915,0.25874125874125875,2,0,MN0029_010,0.0029142179980168807,0.008199916831271442,0.031746031746031744
156,1542,monastery,MN0029,0.05038371705038372,0.08108108108108109,0.15047707267972427,0.29133858267716534,3,0,MN0029_011,0.0018863817746499311,0.020038465536958105,0.047619047619047616
152,1077,monastery,MN0029,0.22722722722722727,0.13513513513513514,0.25907401234098926,0.3490566037735849,5,0,MN0029_012,0.0018380130111973687,0.0139957376026614,0.07936507936507936
138,1343,monastery,MN0029,0.23059726393059723,0.1891891891891892,0.3071989755362616,0.3217391304347826,7,0,MN0029_013,0.0016687223391134006,0.01745243788335586,0.1111111111111111
134,2213,monastery,MN0029,0.19131631631631632,0.10810810810810811,0.2768283119545974,0.36633663366336633,4,0,MN0029_014,0.0016203535756608382,0.028758186921717433,0.06349206349206349
111,113,monastery,MN0029,0.0,0.02702702702702703,0.042787448021939734,0.24342105263157895,1,0,MN0029_015,0.0013422331858086048,0.0014684478636032851,0.015873015873015872
107,2094,monastery,MN0029,0.07069569569569571,0.08108108108108109,0.048107893083588975,0.24183006535947713,3,0,MN0029_016,0.0012938644223560425,0.027211768375090966,0.047619047619047616
75,849,monastery,MN0029,0.0,0.02702702702702703,0.02024212737677125,0.21022727272727273,1,0,MN0029_017,0.0009069143147355438,0.011032851647780435,0.015873015873015872
64,169,monastery,MN0029,0.0,0.02702702702702703,0.042787448021939734,0.24342105263157895,1,0,MN0029_018,0.0007739002152409973,0.002196174238486329,0.015873015873015872
64,2627,monastery,MN0029,0.10810810810810811,0.05405405405405406,0.11852628536244186,0.3217391304347826,2,0,MN0029_019,0.0007739002152409973,0.03413816405031708,0.031746031746031744
63,337,monastery,MN0029,0.0,0.02702702702702703,0.08308499340467192,0.2824427480916031,1,0,MN0029_020,0.0007618080243778568,0.004379353363135461,0.015873015873015872
56,2206,monastery,MN0029,0.011936936936936936,0.05405405405405406,0.11418471123561745,0.2624113475177305,2,0,MN0029_021,0.0006771626883358727,0.028667221124857055,0.031746031746031744
41,91,monastery,MN0029,0.0,0.02702702702702703,0.07953685164086949,0.2483221476510067,1,0,MN0029_022,0.000495779825388764,0.0011825553591849464,0.015873015873015872
35,474,monastery,MN0029,0.04592092092092091,0.05405405405405406,0.14928035603855402,0.29838709677419356,2,0,MN0029_023,0.0004232266802099204,0.0061596839588314795,0.031746031746031744
34,1114,monastery,MN0029,0.20850850850850852,0.16216216216216217,0.29450099252240314,0.3425925925925926,6,0.13333333333333333,MN0029_024,0.00041113448934677985,0.014476556814637696,0.09523809523809523
28,452,monastery,MN0029,0.0,0.02702702702702703,0.042787448021939734,0.24342105263157895,1,0,MN0029_025,0.00033858134416793635,0.0058737914544131405,0.015873015873015872
25,168,monastery,MN0029,0.0,0.02702702702702703,0.08269784825199719,0.24503311258278146,1,0,MN0029_026,0.0003023047715785146,0.002183179124649132,0.015873015873015872
24,165,monastery,MN0029,0.07257257257257256,0.08108108108108109,0.1046523773771446,0.25517241379310346,3,0,MN0029_027,0.000290212580715374,0.0021441937831375405,0.047619047619047616
21,102,monastery,MN0029,0.0,0.02702702702702703,0.028172320953353112,0.20441988950276244,1,0,MN0029_028,0.00025393600812595224,0.0013255016113941159,0.015873015873015872
21,375,monastery,MN0029,0.05081748415081748,0.05405405405405406,0.1524413526496817,0.30833333333333335,2,0,MN0029_029,0.00025393600812595224,0.0048731676889489555,0.031746031746031744
21,656,monastery,MN0029,0.015515515515515516,0.05405405405405406,0.12320638178921897,0.2624113475177305,2,0,MN0029_030,0.00025393600812595224,0.008524794677201372,0.031746031746031744
20,50,monastery,MN0029,0.0,0.05405405405405406,0.14371277953343653,0.27007299270072993,2,1.0,MN0029_031,0.00024184381726281167,0.0006497556918598607,0.031746031746031744
