area,iso_area,building_type,building_name,betweenness,degree_centrality,eigenvector_centrality,closeness_centrality,degree,clustering_coef,id,area_norm,iso_area_norm,degree_norm,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63
1313,795,monastery,MN0024,0.15942028985507248,0.08333333333333333,0.020518905913831306,0.3157894736842105,2,0,MN0024_001,0.015877046603303586,0.010331115500571786,0.031746031746031744,1.8690489530563354,-2.235210418701172,0.4375360906124115,1.5841331481933594,-0.8403341770172119,1.9095932245254517,0.5240146517753601,-0.40624430775642395,1.3541356325149536,0.33215564489364624,0.6834478974342346,1.1127673387527466,-0.7095566391944885,-0.7633128762245178,-0.6299133896827698,0.05025984346866608,0.6485501527786255,0.07117839902639389,1.3516813516616821,2.66459584236145,-0.20105966925621033,-0.46289145946502686,-1.5548479557037354,3.063260078430176,-2.7043709754943848,2.195490598678589,-1.9770108461380005,1.1237664222717285,2.440784454345703,0.06619758158922195,3.1665894985198975,-0.1337561160326004,1.9483284950256348,0.24016937613487244,-0.17730265855789185,1.070557951927185,2.759206771850586,2.0520870685577393,-2.1217610836029053,1.9520745277404785,0.12245997041463852,-0.09141083806753159,0.6901335716247559,-1.5414249897003174,-1.2303295135498047,2.1835594177246094,2.6835436820983887,-2.138429880142212,0.345692902803421,-6.69117546081543,0.23684142529964447,-4.50847864151001,-1.8367424011230469,0.9750774502754211,-0.9218398332595825,-0.8853002786636353,-0.9176838994026184,-0.5829176902770996,-1.813979148864746,3.099947929382324,2.481117010116577,1.3125125169754028,1.4106833934783936,-3.3831887245178223
732,704,monastery,MN0024,0.0,0.041666666666666664,0.10659335991260765,0.36363636363636365,1,0,MN0024_002,0.008851483711818908,0.009148560141386838,0.015873015873015872,1.1674480438232422,-0.07822659611701965,1.9707475900650024,-0.7087194323539734,0.48128506541252136,-0.23628981411457062,1.2532368898391724,0.1771830916404724,-1.1188290119171143,0.20864081382751465,0.8231849074363708,0.5097475647926331,0.49073269963264465,0.31173470616340637,-0.48389583826065063,0.23306803405284882,-0.2629956007003784,0.2711116075515747,-0.8846693634986877,-1.383048176765442,-2.476658582687378,-0.1604396551847458,1.4205557107925415,-0.4542567729949951,-0.5631967782974243,-1.0327825546264648,2.5736401081085205,-3.565459728240967,1.8054593801498413,-0.4860396683216095,-0.16415636241436005,-1.5443040132522583,1.5799689292907715,0.2012820839881897,0.49653226137161255,0.7891950011253357,0.7941284775733948,-1.5456335544586182,-0.9158865809440613,1.167804479598999,0.42459434270858765,0.9839473366737366,0.032651931047439575,0.2676885724067688,-2.1069037914276123,-1.5386619567871094,-2.823509454727173,0.475846529006958,1.49459969997406,-1.3668720722198486,0.6330538988113403,0.04215223342180252,0.24210067093372345,1.035390019416809,-1.047652244567871,-1.3420193195343018,0.45115727186203003,-0.6712393164634705,1.2398505210876465,-0.3596065044403076,-0.8724364638328552,1.0073684453964233,-1.1792649030685425,-3.1328964233398438
570,378,monastery,MN0024,0.0018115942028985507,0.125,0.18632726945797776,0.375,3,0.6666666666666666,MN0024_003,0.006892548791990132,0.004912153030460547,0.047619047619047616,0.6347454190254211,-1.5216549634933472,-0.043552473187446594,2.6373651027679443,1.65861177444458,-1.118606448173523,1.7909120321273804,-1.126287817955017,-2.5831916332244873,0.9223333597183228,-0.8416681885719299,0.8664527535438538,1.9010016918182373,0.4788806736469269,-0.5258391499519348,1.3722944259643555,0.48846733570098877,0.2805413007736206,-2.3845267295837402,0.09468156844377518,-0.31946903467178345,-0.7421170473098755,2.3961005210876465,-1.1303404569625854,-0.5726376175880432,-2.1192517280578613,0.5701389312744141,-3.876497745513916,2.3538715839385986,0.42012444138526917,-1.2853137254714966,-0.5543418526649475,4.27459716796875,-2.924062728881836,0.9603021144866943,-1.5150227546691895,0.0932619720697403,0.3358843922615051,2.5448436737060547,-1.438339352607727,0.7174916863441467,0.05212850123643875,0.05613936856389046,1.5987308025360107,-2.4014604091644287,0.283223956823349,-3.078504800796509,2.9627957344055176,1.828561782836914,-1.0479639768600464,-0.12766055762767792,0.9295480251312256,-1.1465007066726685,-1.5742626190185547,-2.188516855239868,-0.6144632697105408,0.5550527572631836,0.8801170587539673,1.509661316871643,0.30504754185676575,-2.1170051097869873,2.1661880016326904,-1.3995530605316162,0.36015936732292175
499,310,monastery,MN0024,0.47554347826086957,0.5,0.5085282270590004,0.5581395348837209,12,0.10606060606060606,MN0024_004,0.006034003240707152,0.004028485289531136,0.19047619047619047,-0.7044007182121277,-3.900991916656494,-3.5816168785095215,6.404757022857666,3.7529783248901367,-1.8508270978927612,1.6060656309127808,1.772701382637024,-2.0522313117980957,2.5756163597106934,-3.3847548961639404,4.386251926422119,2.518221616744995,-6.017566204071045,2.312971353530884,0.6404367685317993,0.33788996934890747,4.0928449630737305,-2.6344234943389893,3.5390093326568604,1.0930438041687012,-0.5905329585075378,0.8331080079078674,-1.0965427160263062,-0.7104273438453674,-3.0682051181793213,-1.3140572309494019,-3.1883459091186523,4.311213493347168,-0.2128862887620926,-0.645725429058075,3.9223508834838867,9.522578239440918,-1.2120530605316162,1.5288503170013428,-5.068582534790039,3.0003104209899902,5.207235336303711,6.204787254333496,-6.537741661071777,2.4005563259124756,-3.425553798675537,0.9770857691764832,-1.070070743560791,-2.5164682865142822,6.517014026641846,-3.0710012912750244,7.3736677169799805,1.1818903684616089,-1.6016091108322144,-0.06381074339151382,1.1671600341796875,-4.258083343505859,-1.881390929222107,-4.244454383850098,-1.7396994829177856,0.9843765497207642,3.718635320663452,3.0576703548431396,3.7691776752471924,-2.2846176624298096,4.606407165527344,-0.19802513718605042,0.9642414450645447
269,159,monastery,MN0024,0.01328502415458937,0.125,0.25842076615903015,0.46153846153846156,3,0.6666666666666666,MN0024_005,0.003252799342184817,0.002066223100114357,0.047619047619047616,0.5625587105751038,-2.7179811000823975,1.4456511735916138,3.245388984680176,2.048712968826294,-2.137894630432129,-1.0798202753067017,1.6302016973495483,-0.6058098077774048,2.7282512187957764,-2.5249269008636475,4.204665660858154,0.6264550089836121,-3.49731183052063,0.0222481582313776,-2.120076894760132,2.2536163330078125,2.6033592224121094,-2.884272575378418,-1.760021448135376,-1.1721320152282715,0.43809086084365845,0.5012139678001404,0.4034523665904999,-0.07497327774763107,-3.5164146423339844,2.839350700378418,-2.8140079975128174,3.499950647354126,0.737258791923523,-0.040819231420755386,1.2768006324768066,7.085526466369629,0.43481481075286865,-0.4815307557582855,-0.7962437868118286,3.9371325969696045,1.4849439859390259,1.7727309465408325,-3.9608638286590576,2.002382516860962,-0.2212134450674057,-0.5440508723258972,-0.6872614622116089,-2.2344307899475098,0.14592565596103668,-3.2641632556915283,1.0023891925811768,1.763712763786316,-3.8378515243530273,3.1828389167785645,2.462679624557495,-0.6862727403640747,-4.294610500335693,-4.335680961608887,-3.8968899250030518,0.5222734808921814,1.074898362159729,3.52876877784729,-0.29320529103279114,-0.2636469006538391,3.7490904331207275,-1.8130720853805542,-4.5798540115356445
216,195,monastery,MN0024,0.0,0.041666666666666664,0.10659335991260765,0.36363636363636365,1,0,MN0024_006,0.0026119132264383663,0.002534047198253457,0.015873015873015872,1.2450779676437378,0.4808410406112671,1.8990806341171265,-0.30100229382514954,1.0637881755828857,0.49126505851745605,0.6754348874092102,-0.3081817626953125,0.1189284548163414,0.7575965523719788,-0.21032989025115967,-0.05435897037386894,0.17306329309940338,0.38601478934288025,-0.2541884183883667,-0.2537509799003601,0.12397650629281998,-0.5055506229400635,-0.7075570821762085,-1.830751657485962,-2.033501148223877,0.3613031804561615,0.9074912667274475,-0.25028154253959656,-1.6099737882614136,-1.3039222955703735,2.2780425548553467,-3.9031219482421875,2.389012336730957,-0.27053603529930115,-0.39922240376472473,-1.4625147581100464,1.4936749935150146,0.0697668045759201,0.025627557188272476,0.2170785665512085,0.2798704206943512,-0.8368557691574097,-0.3562573790550232,0.6575459241867065,-0.5923792719841003,0.9670388102531433,0.48849496245384216,0.8790407776832581,-1.9952502250671387,-1.1409544944763184,-2.7261414527893066,0.5808037519454956,1.7028225660324097,-1.1061854362487793,0.8108009099960327,0.27932244539260864,0.7103433012962341,0.6704879403114319,-1.7774674892425537,-1.09325110912323,-0.34263870120048523,-0.7072270512580872,1.5959283113479614,0.0747363343834877,-0.4221869111061096,0.4142903685569763,-1.2400286197662354,-2.711536169052124
161,184,monastery,MN0024,0.0,0.041666666666666664,0.019532474784999112,0.2857142857142857,1,0,MN0024_007,0.001946842728965634,0.0023911009460442873,0.015873015873015872,-1.052978515625,-0.42170652747154236,0.03482651710510254,1.2740577459335327,1.2008097171783447,-0.33618423342704773,3.070225715637207,-0.19538749754428864,-1.4133573770523071,1.2257249355316162,0.9424499869346619,-1.4310616254806519,-0.554737389087677,-1.3764909505844116,0.602637767791748,-0.1391935497522354,2.856084108352661,1.06808602809906,-0.42989885807037354,-1.5382369756698608,0.9300975799560547,-1.800694227218628,2.5738537311553955,-0.8775097131729126,2.4739181995391846,0.6575371623039246,1.744524598121643,-1.210388422012329,1.823485016822815,1.0566611289978027,0.7599287033081055,1.1800591945648193,2.890519857406616,-2.292865037918091,0.4963010549545288,0.11998134106397629,-2.3740286827087402,-0.19816169142723083,3.011098861694336,-1.6199774742126465,-5.054346561431885,-0.9218782186508179,2.360140800476074,-2.16500186920166,-0.556325376033783,-2.361454963684082,1.8978005647659302,-1.7418065071105957,-3.470672130584717,-0.5860816836357117,2.3281490802764893,-0.009594186209142208,-1.33603835105896,-0.7961302995681763,-1.1335304975509644,2.2044901847839355,3.710115432739258,-3.566200017929077,-0.5746737122535706,-0.025885621085762978,-0.9850378036499023,0.8024640679359436,0.9149734377861023,-2.5739662647247314
113,89,monastery,MN0024,0.0,0.08333333333333333,0.11271510466760389,0.3870967741935484,2,1.0,MN0024_008,0.001366417567534886,0.001156565131510552,0.031746031746031744,-0.7882943749427795,-2.3190932273864746,-1.0322092771530151,-1.6826151609420776,-4.604196071624756,4.048801898956299,-2.9461023807525635,0.48235756158828735,-4.8175458908081055,-2.9099280834198,-3.881195545196533,3.187427520751953,-0.8048203587532043,-2.2891039848327637,-3.0618526935577393,3.352504014968872,-1.7153120040893555,2.9711689949035645,-3.7884600162506104,-1.8778873682022095,2.2767441272735596,-0.549150824546814,0.037791043519973755,2.9118404388427734,0.5012089014053345,5.423220157623291,2.6023354530334473,3.2432045936584473,-1.8283913135528564,3.6314640045166016,1.6305944919586182,1.68348228931427,5.0558247566223145,-0.5275254249572754,-7.109457969665527,0.13830029964447021,0.5510668754577637,-2.834339141845703,0.6819912791252136,-1.6608878374099731,1.287894368171692,1.8867844343185425,5.257975101470947,-1.3012299537658691,-0.9608107209205627,1.396698236465454,3.021672248840332,1.2952601909637451,2.5232982635498047,-1.0134379863739014,2.9058706760406494,1.2275705337524414,2.0158274173736572,-5.062560081481934,-2.245809555053711,0.030359666794538498,1.1219351291656494,0.6183766722679138,3.4078547954559326,0.8744661808013916,0.34323015809059143,-0.682075560092926,1.40961754322052,0.37153932452201843
112,178,monastery,MN0024,0.0,0.08333333333333333,0.11271510466760389,0.3870967741935484,2,1.0,MN0024_009,0.0013543253766717454,0.002313130263021104,0.031746031746031744,0.1627478152513504,-1.7442800998687744,-2.0403778553009033,-2.95038104057312,-3.3044495582580566,5.065896034240723,-2.8446528911590576,3.258563280105591,-3.818720817565918,-4.1630988121032715,-2.7677717208862305,1.8413771390914917,-2.137249231338501,-1.9559334516525269,-1.668813705444336,4.851626396179199,-1.697209358215332,-1.2597529888153076,-4.463416576385498,-0.3889622092247009,2.777130365371704,-0.8490297794342041,1.133693814277649,2.0813956260681152,2.8458659648895264,4.7838826179504395,3.0533695220947266,3.114473819732666,-0.7693490386009216,2.1677260398864746,1.9247877597808838,0.7866113781929016,4.219056129455566,-1.2638720273971558,-6.904214859008789,1.0303994417190552,0.07733414322137833,-4.9652018547058105,-0.2151067554950714,-1.846053123474121,0.11872268468141556,3.511422872543335,5.148739814758301,-0.2029951810836792,-0.5565622448921204,3.1517832279205322,2.0698442459106445,-2.0976176261901855,0.6977784633636475,0.2947922646999359,1.472237229347229,0.4112393856048584,1.8635094165802002,-3.7730276584625244,-4.384824752807617,-1.6220214366912842,-2.2483391761779785,-0.22534751892089844,2.06059193611145,1.5330547094345093,-1.054134488105774,0.824685275554657,0.3826366364955902,0.48770713806152344
111,277,monastery,MN0024,0.08333333333333333,0.08333333333333333,0.09318262990148754,0.39344262295081966,2,0,MN0024_010,0.0013422331858086048,0.003599646532903628,0.031746031746031744,-2.4829089641571045,-1.8216500282287598,-1.5594271421432495,2.74043607711792,-0.5835059881210327,-1.9721161127090454,1.8845551013946533,1.1914209127426147,-1.8535079956054688,0.509117841720581,-0.14173832535743713,-1.591063141822815,-1.987014651298523,-1.9734673500061035,0.462744802236557,0.09777777642011642,3.539638042449951,1.375654697418213,-0.22026480734348297,0.32732778787612915,3.443105697631836,-1.7249552011489868,1.6039990186691284,2.034278631210327,5.883093357086182,1.0658948421478271,2.676241636276245,-0.008325555361807346,2.6423258781433105,3.2648653984069824,2.2903976440429688,3.001710891723633,5.5555739402771,-2.0151126384735107,0.27588388323783875,0.9451914429664612,-2.5503692626953125,-0.612497091293335,2.8406877517700195,-5.6371541023254395,-6.011268615722656,-0.7068526148796082,1.4884053468704224,-4.7033371925354,0.5289018154144287,-1.7850865125656128,3.5801379680633545,-3.5113320350646973,-4.351039886474609,1.1906629800796509,3.8394062519073486,0.8027215600013733,-2.09021258354187,-3.198331832885742,-3.208542823791504,1.891041874885559,3.064009189605713,-2.8292036056518555,-0.08149883151054382,-0.6842827200889587,-0.7405189275741577,2.9201650619506836,-0.6043727993965149,-1.3207896947860718
